#{"t_start": 1620543574.0619526, "env_id": "binary_ctrl-narrow-v0"}
r,l,t
33.0,803,21.538683
33.0,400,32.79499
12.0,186,37.664932
4.0,140,41.70773
62.0,254,49.566979
7.0,165,55.845753
41.0,228,61.575526
62.0,228,69.137342
5.0,232,76.76957
60.0,228,84.512338
47.0,238,92.378955
10.0,208,98.174344
55.0,231,105.769027
22.0,210,113.156394
23.0,216,119.438947
12.0,198,129.116178
20.0,192,137.479093
59.0,220,143.68358
38.0,238,151.675529
65.0,220,159.288707
45.0,210,165.381113
3.0,168,171.834416
0.0,1,171.846613
9.0,209,177.613297
1.0,69,180.453277
6.0,183,185.813594
52.0,213,193.157154
67.0,234,200.639641
0.0,1,200.668785
60.0,219,208.024854
30.0,170,212.829125
58.0,235,220.389502
31.0,951,247.861449
82.0,240,255.019048
58.0,743,276.262216
0.0,1,276.284244
0.0,1,276.297752
58.0,657,295.091567
37.0,421,306.44549
3.0,657,325.215071
52.0,214,332.21323
17.0,929,360.356971
0.0,1,360.391269
8.0,210,367.738705
9.0,188,372.337291
39.0,226,379.229585
56.0,215,386.291241
39.0,241,393.751312
0.0,854,417.641278
50.0,196,423.97836
74.0,246,431.312397
